,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,102.900002,107.199997,102.650002,105.985001,85.780838,9395310,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,10.389645,0.562498,3.752853,41.86751,3.352876,11.394493,5.011293,5.07093,2.048864,22.857503,124
2007-12-04,106.699997,109.0,105.824997,108.235001,87.601906,5048180,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,10.304637,0.56206,3.722422,41.865701,3.322705,11.357351,4.992008,4.924675,2.09245,23.533575,123
2007-12-05,110.5,113.699997,107.535004,112.959999,91.426178,7604990,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,10.219629,0.561622,3.691992,41.863892,3.292534,11.245393,5.006735,4.679551,2.183891,24.763374,122
2007-12-06,114.239998,118.800003,113.309998,116.675003,94.432983,13598130,100.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,10.134622,0.561183,3.661562,41.862084,3.262363,11.447068,5.000254,4.492672,2.255812,25.790357,121
2007-12-07,119.029999,127.879997,118.599998,120.745003,97.727104,18913470,100.0,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,10.049614,0.560745,3.631131,41.860275,3.232191,11.257302,4.99873,4.304636,2.334603,26.913678,120
2007-12-10,121.599998,124.970001,115.220001,121.014999,97.945633,11089210,100.0,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,9.964606,0.560307,3.600701,41.858466,3.20202,11.176844,4.994795,4.258517,2.339924,27.201822,119
2007-12-11,122.0,122.995003,119.860001,120.449997,97.488327,7850350,95.430883,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,9.879598,0.559869,3.570271,41.856657,3.171849,11.415704,4.984524,4.24181,2.3291,27.305582,118
2007-12-12,118.0,125.0,117.035004,124.059998,100.410149,6406240,96.523784,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,9.79459,0.55943,3.539841,41.854849,3.141677,11.934501,4.987814,4.082765,2.399009,28.365726,117
2007-12-13,125.739998,138.699997,125.739998,133.600006,108.131523,16253030,97.931722,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,9.709582,0.558992,3.50941,41.85304,3.111506,11.682943,4.985288,3.758159,2.5836,30.811878,116
2007-12-14,138.869995,138.869995,132.300003,133.514999,108.062721,3032050,97.552577,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,9.624574,0.558554,3.47898,41.851231,3.081335,11.606329,4.967089,3.727467,2.582068,31.06161,115
2007-12-17,133.0,133.5,114.419998,116.059998,93.935219,8011160,52.55737,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,9.539566,0.558116,3.44855,41.849422,3.051163,11.558623,4.985186,4.250007,2.2446,27.23905,114
2007-12-18,116.059998,116.059998,116.059998,116.059998,93.935219,0,52.55737,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,9.454558,0.557677,3.41812,41.847614,3.020992,11.419159,4.985186,4.211953,2.244697,27.481549,113
2007-12-19,121.510002,125.0,119.025002,121.620003,98.435303,8307470,59.464365,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,9.36955,0.557239,3.387689,41.845805,2.990821,11.606192,5.01015,3.983087,2.352334,29.056769,112
2007-12-20,123.114998,126.800003,121.199997,123.050003,99.592697,7640480,61.035575,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,9.284542,0.556801,3.357259,41.843996,2.960649,11.546182,5.017024,3.900912,2.380095,29.664884,111
2007-12-24,125.449997,126.0,123.510002,124.080002,100.426346,3926070,62.172903,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,9.199534,0.556363,3.326829,41.842187,2.930478,11.787894,4.991353,3.832945,2.400122,30.18681,110
2007-12-26,124.0,128.0,121.099998,124.989998,101.162865,4345170,63.195045,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,9.114526,0.555924,3.296398,41.840378,2.900307,11.936468,5.005083,3.769715,2.417829,30.688907,109
2007-12-27,126.5,131.595001,125.199997,130.410004,105.549622,7531590,68.63183,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,9.029518,0.555486,3.265968,41.83857,2.870135,12.064664,4.989435,3.57919,2.522783,32.318019,108
2007-12-28,130.0,132.5,128.850006,131.979996,106.820343,3251860,70.013621,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,8.94451,0.555048,3.235538,41.836761,2.839964,12.018947,5.024325,3.503165,2.553265,33.01471,107
2007-12-31,133.0,134.645004,131.5,131.949997,106.796074,2625270,69.950214,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,8.859502,0.55461,3.205108,41.834952,2.809793,12.04595,5.037222,3.47051,2.552795,33.32059,106
2008-01-01,133.0,136.300003,131.039993,131.929993,106.779861,3735990,69.904751,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,8.774494,0.554171,3.174677,41.833143,2.779622,12.04595,5.066486,3.437583,2.552518,33.634871,105
2008-01-02,132.800003,134.0,128.630005,130.399994,105.54155,2866040,66.352666,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,8.689486,0.553733,3.144247,41.831335,2.74945,12.631035,5.083269,3.444073,2.523026,33.566558,104
2008-01-03,125.699997,134.994995,125.699997,134.225006,108.637375,5349410,70.401851,7.755,97.599998,26887.279297,20345.199219,1447.160034,39.353001,124.119355,73.7,118116.478261,101.699313,24.82,119520.304348,False,False,False,False,8.604478,0.553295,3.113817,41.829526,2.719279,12.585429,5.074533,3.313052,2.597146,34.888815,103
2008-01-04,134.0,136.580002,133.0,133.490005,108.04248,6225380,68.691215,7.706,96.790001,27519.689453,20686.890625,1411.630005,39.095001,124.025806,73.7,119396.304348,101.690917,25.1,120915.73913,False,False,False,False,8.51947,0.552857,3.083386,41.827717,2.689108,12.560343,5.07332,3.29824,2.583036,35.040201,102
2008-01-07,131.5,133.970001,128.360001,129.914993,105.14901,10819290,60.935552,7.66,94.389999,27179.490234,20812.650391,1416.180054,39.213001,123.932258,73.7,120676.130435,101.682522,25.24,122311.173913,False,False,False,False,8.434462,0.552418,3.052956,41.825908,2.658936,12.322454,5.119191,3.355039,2.513968,34.441703,101
