,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,312.0,318.5,301.5625,312.262512,307.938171,2349924,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,14.068251,0.141908,5.549622,46.168625,2.017386,11.394493,5.011293,2.109228,6.669858,55.488139,124
2007-12-04,313.5,319.25,302.8125,317.262512,312.868866,2100084,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,14.02347,0.141749,5.539355,46.189235,2.012406,11.357351,4.992008,2.070303,6.773632,56.481105,123
2007-12-05,318.75,327.75,318.012512,326.262512,321.744232,1944312,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,13.978689,0.14159,5.529088,46.209845,2.007426,11.245393,5.006735,2.00766,6.962677,58.191198,122
2007-12-06,327.5,332.5,323.799988,326.487488,321.966034,1489748,100.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,13.933908,0.14143,5.518821,46.230454,2.002446,11.447068,5.000254,2.000742,6.964371,58.339644,121
2007-12-07,327.5,328.75,313.5,323.587494,319.106293,2584016,80.500813,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,13.889127,0.141271,5.508554,46.251064,1.997466,11.257302,4.99873,2.013081,6.899437,57.929232,120
2007-12-10,333.950012,333.950012,310.25,327.450012,322.915253,4308488,84.762552,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,13.844347,0.141112,5.498287,46.271673,1.992486,11.176844,4.994795,1.983806,6.978681,58.730157,119
2007-12-11,349.75,349.75,327.012512,329.524994,324.961548,1550868,86.472967,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,13.799566,0.140952,5.48802,46.292283,1.987506,11.415704,4.984524,1.965812,7.019778,59.212895,118
2007-12-12,325.0,331.200012,324.25,327.924988,323.383667,2665576,79.099761,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,13.754785,0.140793,5.477753,46.312892,1.982526,11.934501,4.987814,1.96987,6.982584,59.035825,117
2007-12-13,328.75,331.462494,320.5,325.125,320.622406,1688504,68.148776,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,13.710004,0.140633,5.467486,46.333502,1.977546,11.682943,4.985288,1.981248,6.919883,58.64165,116
2007-12-14,312.912506,327.174988,312.912506,315.887512,311.512939,1802320,45.679752,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,13.665223,0.140474,5.457219,46.354112,1.972566,11.606329,4.967089,2.033428,6.720287,57.082725,115
