,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,920.888916,935.333313,917.777771,928.666687,743.143921,2043121,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,24.723813,0.86004,24.818769,98.46094,6.5409,11.394493,5.011293,3.275718,7.547601,29.94282,124
2007-12-04,951.111084,951.111084,926.422241,940.988892,753.004395,1795981,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,24.710618,0.859805,24.862932,98.555793,6.535988,11.357351,4.992008,3.23421,7.640387,30.286226,123
2007-12-05,944.444458,966.811096,940.088867,960.06665,768.270935,2634417,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,24.697422,0.85957,24.907096,98.650645,6.531076,11.245393,5.006735,3.171299,7.787794,30.845465,122
2007-12-06,979.533325,979.533325,946.755554,956.14447,765.132385,2142549,87.842725,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,24.684227,0.859335,24.951259,98.745498,6.526163,11.447068,5.000254,3.185666,7.748529,30.665081,121
2007-12-07,966.666687,966.666687,938.888916,947.733337,758.401489,2477560,68.585967,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,24.671032,0.8591,24.995422,98.840351,6.521251,11.257302,4.99873,3.215307,7.672995,30.341615,120
2007-12-10,951.111084,965.488892,935.555542,940.022217,752.230957,2263189,56.38282,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,24.657837,0.858865,25.039586,98.935203,6.516339,11.176844,4.994795,3.243057,7.603269,30.04167,119
2007-12-11,955.244446,958.888916,944.922241,953.511108,763.025146,1620747,67.332396,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,24.644641,0.858629,25.083749,99.030056,6.511426,11.415704,4.984524,3.198532,7.704986,30.419103,118
2007-12-12,945.555542,957.777771,934.5,952.766663,762.42926,2395795,66.342537,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,24.631446,0.858394,25.127912,99.124908,6.506514,11.934501,4.987814,3.202382,7.691601,30.341926,117
2007-12-13,957.777771,963.111084,938.888916,942.044434,753.848999,1910173,54.023688,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,24.618251,0.858159,25.172076,99.219761,6.501602,11.682943,4.985288,3.240194,7.597771,29.947828,116
2007-12-14,943.333313,948.888916,923.344421,927.599976,742.290039,3171051,42.558832,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,24.605056,0.857924,25.216239,99.314614,6.496689,11.606329,4.967089,3.292031,7.474127,29.436985,115
2007-12-17,923.333313,943.555542,900.0,906.244446,725.200928,3565822,31.810359,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,24.591861,0.857689,25.260402,99.409466,6.491777,11.558623,4.985186,3.371016,7.295089,28.709001,114
2007-12-18,917.333313,917.333313,873.577759,880.766663,704.813049,5572408,24.017175,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,24.578665,0.857454,25.304566,99.504319,6.486865,11.419159,4.985186,3.469975,7.083241,27.853197,113
2007-12-19,891.777771,899.866638,878.122192,886.655579,709.525391,2736477,28.384465,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,24.56547,0.857219,25.348729,99.599171,6.481952,11.606192,5.01015,3.448362,7.123808,27.990571,112
2007-12-20,895.111084,897.555542,878.888916,886.299988,709.240845,2261835,28.278769,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,24.552275,0.856984,25.392892,99.694024,6.47704,11.546182,5.017024,3.451176,7.114176,27.930684,111
2007-12-24,900.0,911.111084,894.688904,909.044434,727.441589,2264827,42.919789,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,24.53908,0.856749,25.437056,99.788876,6.472127,11.787894,4.991353,3.366218,7.289806,28.597712,110
2007-12-26,914.444458,940.666687,910.444458,932.022217,745.829102,2478028,53.293191,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,24.525884,0.856514,25.481219,99.883729,6.467215,11.936468,5.005083,3.284582,7.466973,29.269757,109
2007-12-27,941.111084,943.599976,920.044434,923.844421,739.284973,2852730,49.822814,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,24.512689,0.856279,25.525382,99.978582,6.462303,12.064664,4.989435,3.315019,7.394433,28.962738,108
2007-12-28,928.844421,932.111084,911.388916,923.5,739.00946,1691086,49.676093,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,24.499494,0.856044,25.569546,100.073434,6.45739,12.018947,5.024325,3.317615,7.384672,28.901939,107
2007-12-31,925.555542,937.777771,922.799988,926.088867,741.080933,935397,50.847776,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,24.486299,0.855809,25.613709,100.168287,6.452478,12.04595,5.037222,3.309693,7.398359,28.93298,106
2008-01-01,929.555542,931.111084,916.711121,921.388916,737.320007,927621,48.633949,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,24.473104,0.855574,25.657873,100.263139,6.447566,12.04595,5.066486,3.327931,7.353849,28.7366,105
2008-01-02,921.388916,927.64447,906.777771,919.633362,735.915283,1753294,47.796851,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,24.459908,0.855339,25.702036,100.357992,6.442653,12.631035,5.083269,3.335638,7.332902,28.632568,104
2008-01-03,919.633362,919.633362,897.777771,901.077759,721.066284,3060486,39.966539,7.755,97.599998,26887.279297,20345.199219,1447.160034,39.353001,124.119355,73.7,118116.478261,101.699313,24.82,119520.304348,False,False,False,False,24.446713,0.855104,25.746199,100.452845,6.437741,12.585429,5.074533,3.405709,7.178157,28.006708,103
2008-01-04,906.222229,951.111084,903.555542,944.188904,755.565125,4535194,57.420087,7.706,96.790001,27519.689453,20686.890625,1411.630005,39.095001,124.025806,73.7,119396.304348,101.690917,25.1,120915.73913,False,False,False,False,24.433518,0.854869,25.790363,100.547697,6.432829,12.560343,5.07332,3.251518,7.514495,29.296413,102
2008-01-07,935.777771,959.06665,931.111084,951.766663,761.629028,3975547,59.64117,7.66,94.389999,27179.490234,20812.650391,1416.180054,39.213001,123.932258,73.7,120676.130435,101.682522,25.24,122311.173913,False,False,False,False,24.420323,0.854633,25.834526,100.64255,6.427916,12.322454,5.119191,3.22693,7.567664,29.481053,101
2008-01-08,957.777771,972.222229,947.777771,963.888916,771.329712,4898331,62.968941,7.673,95.540001,27112.900391,20873.330078,1390.189941,39.195999,123.83871,73.7,121955.956522,101.674126,25.38,123706.608696,False,False,False,False,24.407127,0.854398,25.878689,100.737402,6.423004,12.451453,5.108302,3.187626,7.656835,29.805594,100
2008-01-09,962.222229,980.0,953.555542,965.055542,772.263184,2577096,63.282716,7.654,94.370003,27615.849609,20869.779297,1409.130005,39.213001,123.745161,73.7,123235.782609,101.66573,25.52,125102.043478,False,False,False,False,24.393932,0.854163,25.922853,100.832255,6.418092,12.329501,5.123204,3.185048,7.65889,29.790826,99
2008-01-10,966.944458,975.511108,930.0,935.833313,748.878784,2562057,51.509261,7.586,92.220001,27230.859375,20582.080078,1420.329956,39.216,123.651613,73.7,124515.608696,101.657335,25.66,126497.478261,False,False,False,False,24.380737,0.853928,25.967016,100.927108,6.413179,12.156604,5.169523,3.285815,7.419996,28.839617,98
2008-01-11,940.0,946.666687,921.166687,928.200012,742.770386,2624517,48.947531,7.563,91.07,26867.009766,20827.449219,1401.02002,39.095001,123.558065,73.7,125795.434783,101.648939,25.8,127892.913043,False,False,False,False,24.367542,0.853693,26.011179,101.02196,6.408267,12.041518,5.169245,3.314156,7.352564,28.555814,97
2008-01-14,931.111084,938.833313,923.133362,926.488892,741.401001,2186383,48.366835,7.544,92.919998,26468.130859,20728.050781,1416.25,39.216999,123.464516,73.7,127075.26087,101.640543,25.94,129288.347826,False,False,False,False,24.354347,0.853458,26.055343,101.116813,6.403355,12.317073,5.198436,3.321595,7.332124,28.454855,96
2008-01-15,933.333313,950.0,899.93335,902.633362,722.311218,3104761,41.054276,7.556,90.980003,25837.779297,20251.089844,1380.949951,39.192001,123.370968,73.7,128355.086957,101.632148,26.08,130683.782609,False,False,False,False,24.341151,0.853223,26.099506,101.211665,6.398442,12.040763,5.186872,3.41073,7.13664,27.675283,95
2008-01-16,905.511108,905.511108,872.222229,883.85553,707.284851,3096144,36.390375,7.563,89.5,24450.849609,19868.109375,1373.199951,39.171001,123.277419,73.7,129634.913043,101.623752,26.22,132079.217391,False,False,False,False,24.327956,0.852988,26.143669,101.306518,6.39353,11.833928,5.179294,3.484566,6.981632,27.053771,94
2008-01-17,893.333313,920.666687,885.555542,907.133362,725.912415,2916085,44.767038,7.554,88.75,25114.980469,19700.820312,1333.25,39.191002,123.183871,73.7,130914.73913,101.615357,26.36,133474.652174,False,False,False,False,24.314761,0.852753,26.187833,101.401371,6.388618,11.748742,5.188113,3.396484,7.158803,27.719454,93
2008-01-18,898.022217,903.333313,867.777771,875.366638,700.491821,3451594,37.507893,7.551,89.230003,25201.869141,19013.699219,1325.189941,39.284,123.090323,73.7,132194.565217,101.606961,26.5,134870.086957,False,False,False,False,24.301566,0.852518,26.231996,101.496223,6.383705,11.816978,5.20249,3.521122,6.901654,26.703718,92
2008-01-21,873.333313,875.366638,771.111084,821.455566,657.350708,7394872,28.933274,7.54,89.230003,23818.859375,17605.349609,1325.189941,39.476002,122.996774,73.7,133474.391304,101.598565,27.06,136265.521739,False,False,False,False,24.288371,0.852283,26.276159,101.591076,6.378793,11.816978,5.235544,3.753676,6.470556,25.017001,91
2008-01-22,800.0,833.288879,657.166687,814.400024,651.704529,6955380,28.030135,7.467,88.449997,21757.630859,16729.939453,1310.5,39.310001,122.903226,73.7,134754.217391,101.59017,27.62,137660.956522,False,False,False,False,24.275175,0.852048,26.320323,101.685928,6.37388,11.845453,5.264497,3.787673,6.408994,24.760507,90
2008-01-23,833.333313,863.333313,811.333313,833.622192,667.086853,6757560,34.068336,7.385,86.620003,24090.169922,17594.070312,1338.599976,39.473,122.809677,73.7,136034.043478,101.581774,28.18,139056.391304,False,False,False,False,24.26198,0.851813,26.364486,101.780781,6.368968,11.729181,5.345024,3.701772,6.554153,25.302479,89
2008-01-24,847.888916,854.444458,775.777771,784.277771,627.600037,5467707,27.654198,7.379,89.07,23539.269531,17221.740234,1352.069946,39.368999,122.716129,73.7,137313.869565,101.573378,28.74,140451.826087,False,False,False,False,24.248785,0.851578,26.408649,101.875633,6.364056,12.070741,5.335276,3.936202,6.160453,23.764943,88
2008-01-25,791.14447,867.777771,791.14447,865.033325,692.222778,2927466,45.679115,7.431,90.900002,25122.369141,18361.660156,1330.609985,39.275002,122.622581,73.7,138593.695652,101.564983,29.3,141847.26087,False,False,False,False,24.23559,0.851343,26.452813,101.970486,6.359143,12.23254,5.285292,3.570115,6.788462,26.168211,87
2008-01-28,853.333313,858.0,808.0,853.866638,683.286865,3052629,44.044962,7.438,91.379997,24053.609375,18152.779297,1353.959961,39.294998,122.529032,73.7,139873.521739,101.556587,28.92,143242.695652,False,False,False,False,24.222394,0.851108,26.496976,102.065339,6.354231,12.28556,5.283006,3.618198,6.694602,25.787353,86
2008-01-29,855.555542,877.777771,830.14447,838.711121,671.158997,2663838,41.856356,7.542,92.0,24291.800781,18091.939453,1362.300049,39.209999,122.435484,73.7,141153.347826,101.548191,28.54,144638.130435,False,False,False,False,24.209199,0.850873,26.541139,102.160191,6.349319,12.198356,5.198886,3.684993,6.569672,25.287497,85
2008-01-30,840.0,851.111084,820.022217,823.877747,659.288879,2632689,39.773227,7.559,92.529999,23653.689453,17758.640625,1355.810059,39.347,122.341935,73.7,142433.173913,101.539796,28.16,146033.565217,False,False,False,False,24.196004,0.850637,26.585303,102.255044,6.344406,12.241037,5.205318,3.752776,6.447495,24.798998,84
2008-01-31,831.111084,834.222229,800.011108,810.411133,648.512634,5582560,37.927724,7.529,92.209999,23455.740234,17648.710938,1378.550049,39.313999,122.248387,73.7,143713.0,101.5314,27.78,147429.0,False,False,False,False,24.182809,0.850402,26.629466,102.349896,6.339494,12.24731,5.221676,3.816592,6.336231,24.353197,83
2008-02-01,815.555542,830.733337,798.888916,827.088867,661.858459,3262491,41.545213,7.487,89.440002,24123.580078,18242.580078,1395.420044,39.272999,122.154839,73.7,142771.0,101.519224,27.4,146412.238095,False,False,False,False,24.169614,0.850167,26.673629,102.444749,6.334582,11.94604,5.245492,3.741057,6.460638,24.813213,82
2008-02-04,838.444458,850.0,831.111084,847.111084,677.88092,2160355,45.64103,7.515,90.400002,25032.080078,18660.320312,1380.819946,39.271999,122.06129,73.7,141829.0,101.507048,27.04,145395.47619,False,False,False,False,24.156418,0.849932,26.717793,102.539602,6.329669,12.029275,5.225815,3.654019,6.610918,25.371891,81
2008-02-05,841.111084,861.333313,835.555542,856.955566,685.758606,1977237,47.585656,7.518,88.82,24808.699219,18663.160156,1336.640015,39.451,121.967742,73.7,140887.0,101.494871,26.68,144378.714286,False,False,False,False,24.143223,0.849697,26.761956,102.634454,6.324757,11.814312,5.247539,3.613409,6.681563,25.624383,80
2008-02-06,844.444458,845.555542,822.222229,840.677795,672.732849,1688188,44.7359,7.488,87.779999,23469.460938,18139.490234,1326.449951,39.535999,121.874194,73.7,139945.0,101.482695,26.32,143361.952381,False,False,False,False,24.130028,0.849462,26.80612,102.729307,6.319845,11.722756,5.279914,3.684763,6.548597,25.096241,79
2008-02-07,844.400024,844.400024,801.111084,807.611084,646.27179,2389819,39.553854,7.473,88.510002,23469.460938,17526.929688,1336.910034,39.459,121.780645,73.7,139003.0,101.470519,25.96,142345.190476,False,False,False,False,24.116833,0.849227,26.850283,102.824159,6.314932,11.843972,5.280209,3.837075,6.285213,24.069459,78
2008-02-08,811.111084,815.555542,770.222229,784.055542,627.422058,3807013,36.325758,7.47,91.940002,23469.460938,17464.890625,1331.290039,39.535,121.687097,73.7,138061.0,101.458343,25.6,141328.428571,False,False,False,False,24.103637,0.848992,26.894446,102.919012,6.31002,12.307899,5.292503,3.953834,6.09627,23.329057,77
2008-02-11,799.733337,799.733337,728.888916,737.211121,589.936096,5826528,30.921165,7.439,93.529999,22616.109375,16630.910156,1339.130005,39.526001,121.593548,73.7,137119.0,101.446167,25.24,140311.666667,False,False,False,False,24.090442,0.848757,26.93861,103.013865,6.305108,12.572926,5.313349,4.206641,5.726764,21.899278,76
2008-02-12,745.555542,748.666687,711.333313,726.06665,581.017822,4791042,29.785779,7.453,92.860001,22921.669922,16608.009766,1348.859985,39.575001,121.5,73.7,136177.0,101.43399,24.88,139294.904762,False,False,False,False,24.077247,0.848522,26.982773,103.108717,6.300195,12.459412,5.309942,4.272802,5.635002,21.532917,75
2008-02-13,733.333313,748.666687,711.333313,728.322205,582.822815,2714701,30.343259,7.455,93.32,23169.550781,16949.140625,1367.209961,39.633999,121.406452,73.7,135235.0,101.421814,24.52,138278.142857,False,False,False,False,24.064052,0.848287,27.026936,103.20357,6.295283,12.517773,5.316432,4.261151,5.647313,21.564517,74
2008-02-14,747.555542,791.111084,740.666687,778.077759,622.638489,5615833,41.396739,7.464,95.160004,24021.679688,17766.630859,1348.859985,39.576,121.312903,73.7,134293.0,101.409638,24.16,137261.380952,False,False,False,False,24.050857,0.848052,27.0711,103.298422,6.290371,12.749197,5.302251,3.990141,6.02757,23.000118,73
2008-02-15,760.0,789.777771,755.555542,786.255554,629.182617,3126442,42.997796,7.503,94.629997,24148.429688,18115.25,1349.98999,39.584999,121.219355,73.7,133351.0,101.397462,23.8,136244.619048,False,False,False,False,24.037661,0.847817,27.115263,103.393275,6.285458,12.612288,5.27589,3.950097,6.085334,23.204002,72
2008-02-18,788.888916,799.64447,757.777771,779.733337,623.963318,1407420,42.011967,7.543,94.629997,23759.25,18048.050781,1349.98999,39.636002,121.125806,73.7,132409.0,101.385286,23.92,135227.857143,False,False,False,False,24.024466,0.847582,27.159426,103.488127,6.280546,12.612288,5.254673,3.984604,6.029323,22.974098,71
2008-02-19,794.444458,794.444458,782.222229,789.811096,632.028015,1909327,44.142983,7.562,98.559998,24123.169922,18075.660156,1348.780029,39.685001,121.032258,73.7,131467.0,101.37311,24.04,134211.095238,False,False,False,False,24.011271,0.847347,27.20359,103.58298,6.275633,13.033589,5.24795,3.935204,6.101659,23.233258,70
2008-02-20,783.333313,786.666687,762.377747,769.466675,615.747864,1982983,40.877142,7.645,98.419998,23590.580078,17617.599609,1360.030029,40.133999,120.93871,73.7,130525.0,101.360933,24.16,133194.333333,False,False,False,False,23.998076,0.847112,27.247753,103.677833,6.270721,12.873773,5.249706,4.040726,5.93905,22.598115,69
2008-02-21,782.222229,788.888916,755.555542,767.044434,613.809448,1995799,40.49302,7.583,96.239998,23623.0,17734.679688,1342.530029,39.915001,120.845161,73.7,129583.0,101.348757,24.28,132177.571429,False,False,False,False,23.98488,0.846876,27.291916,103.772685,6.265809,12.691547,5.263748,4.054964,5.914942,22.490522,68
2008-02-22,752.666687,775.333313,752.666687,761.900024,609.692749,1790865,39.641024,7.679,97.010002,23305.039062,17349.070312,1353.109985,39.974998,120.751613,73.7,128641.0,101.336581,24.4,131160.809524,False,False,False,False,23.971685,0.846641,27.33608,103.867538,6.260896,12.633156,5.205756,4.083827,5.869907,22.303591,67
2008-02-25,765.911133,780.85553,755.555542,774.244446,619.571045,2013268,42.753636,7.64,97.690002,23269.140625,17650.570312,1371.800049,39.912998,120.658065,73.7,127699.0,101.324405,24.52,130144.047619,False,False,False,False,23.95849,0.846406,27.380243,103.96239,6.255984,12.78665,5.224214,4.020172,5.959569,22.628398,66
2008-02-26,776.666687,785.577759,772.444458,783.522217,626.9953,1857334,45.0473,7.631,99.470001,23714.75,17806.189453,1381.290039,39.814999,120.564516,73.7,126757.0,101.312229,24.64,129127.285714,False,False,False,False,23.945295,0.846171,27.424406,104.057243,6.251072,13.034989,5.217534,3.974003,6.025484,22.862675,65
2008-02-27,788.888916,819.322205,788.888916,809.222229,647.561218,3538660,50.91424,7.629,98.269997,24483.839844,17825.990234,1380.02002,39.689999,120.470968,73.7,125815.0,101.300052,24.76,128110.52381,False,False,False,False,23.9321,0.845936,27.46857,104.152096,6.246159,12.881111,5.202517,3.849178,6.217457,23.574625,64
