,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,183.25,192.25,182.5,187.899994,159.808807,3779892,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,23.586355,0.974371,14.020645,64.71492,5.538606,11.394493,5.011293,9.551345,2.469428,11.398106,124
2007-12-04,190.0,194.987503,187.887497,193.412506,164.497177,1698260,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,23.557363,0.973884,14.002637,64.71639,5.530833,11.357351,4.992008,9.267925,2.541816,11.747585,123
2007-12-05,192.25,198.0,192.25,193.550003,164.614105,3379032,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,23.528371,0.973398,13.984629,64.717861,5.52306,11.245393,5.006735,9.250154,2.543565,11.771074,122
2007-12-06,198.712494,211.225006,189.25,196.4375,167.069885,2328164,100.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,23.499378,0.972912,13.966622,64.719331,5.515287,11.447068,5.000254,9.103161,2.581453,11.962083,121
2007-12-07,197.75,200.0,193.337494,195.037506,165.879242,3410708,83.74637,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,23.470386,0.972426,13.948614,64.720801,5.507514,11.257302,4.99873,9.157398,2.562997,11.892167,120
2007-12-10,197.412506,198.0,189.462494,193.774994,164.80545,1137452,72.329207,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,23.441394,0.97194,13.930606,64.722271,5.499741,11.176844,4.994795,9.205887,2.546348,11.830458,119
2007-12-11,194.0,198.225006,191.75,196.212494,166.878555,1446012,78.440407,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,23.412402,0.971454,13.912598,64.723741,5.491968,11.415704,4.984524,9.080485,2.578321,11.994781,118
2007-12-12,195.0,198.375,193.5,197.537506,168.005493,1112020,80.908718,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,23.38341,0.970968,13.89459,64.725211,5.484195,11.934501,4.987814,9.008611,2.595673,12.091433,117
2007-12-13,200.0,203.512497,197.0,198.212494,168.579544,4876060,82.036954,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,23.354418,0.970482,13.876582,64.726681,5.476422,11.682943,4.985288,8.967007,2.604483,12.148492,116
2007-12-14,199.0,200.0,192.824997,197.762497,168.196838,3908400,78.697878,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,23.325426,0.969996,13.858574,64.728151,5.468649,11.606329,4.967089,8.976457,2.598511,12.136663,115
