,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,1030.0,1049.0,1021.5,1032.849976,904.164124,275465,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,16.601689,1.558263,48.763147,320.602665,11.30842,11.394493,5.011293,5.886703,2.820202,18.541956,124
2007-12-04,1020.0,1035.0,973.450012,1027.949951,899.874451,249538,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,16.563323,1.558112,48.685578,320.73204,11.28279,11.357351,4.992008,5.903477,2.805689,18.483389,123
2007-12-05,1012.0,1044.0,1012.0,1034.400024,905.520935,321097,58.636518,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,16.524956,1.55796,48.608008,320.861414,11.257161,11.245393,5.006735,5.855437,2.822156,18.629048,122
2007-12-06,1040.0,1064.800049,1035.0,1040.800049,911.123352,475761,74.570124,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,16.48659,1.557809,48.530438,320.990789,11.231531,11.447068,5.000254,5.808262,2.838472,18.774266,121
2007-12-07,1050.0,1056.0,1004.299988,1041.449951,911.692505,416819,75.598075,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,16.448223,1.557657,48.452869,321.120163,11.205901,11.257302,4.99873,5.793462,2.839101,18.816069,120
2007-12-10,1059.900024,1059.900024,1034.75,1045.650024,915.369263,434314,80.955836,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,16.409857,1.557506,48.375299,321.249538,11.180271,11.176844,4.994795,5.759052,2.849403,18.922245,119
2007-12-11,1050.0,1085.0,1040.0,1077.599976,943.338379,716830,93.195339,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,16.37149,1.557355,48.297729,321.378912,11.154641,11.415704,4.984524,5.577481,2.935284,19.531734,118
2007-12-12,1080.0,1098.0,1058.050049,1073.300049,939.574158,908702,85.254026,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,16.333124,1.557203,48.220159,321.508287,11.129011,11.934501,4.987814,5.588952,2.922395,19.48509,117
2007-12-13,1078.0,1089.800049,1030.0,1037.0,907.796875,425272,48.038779,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,16.294757,1.557052,48.14259,321.637661,11.103381,11.682943,4.985288,5.773326,2.822421,18.85642,116
2007-12-14,1045.0,1048.949951,1021.099976,1042.349976,912.480225,380200,51.405611,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,16.25639,1.5569,48.06502,321.767036,11.077751,11.606329,4.967089,5.732476,2.835841,18.984289,115
