,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,198.333328,202.875,198.333328,200.166672,110.515343,9268240,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,14.501841,0.422809,7.990916,56.984717,8.071386,11.394493,5.011293,7.477544,1.939386,13.830121,124
2007-12-04,200.833328,203.25,198.333328,199.291672,110.032234,8575376,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,14.501781,0.422737,7.99351,56.997486,8.069406,11.357351,4.992008,7.512026,1.930475,13.765196,123
2007-12-05,200.416672,205.166672,200.0,204.25,112.769791,19432550,85.920565,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,14.501721,0.422665,7.996104,57.010255,8.067426,11.245393,5.006735,7.331279,1.978062,14.103093,122
2007-12-06,207.5,211.541672,202.125,204.333328,112.815819,16581411,86.136152,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,14.501661,0.422594,7.998697,57.023024,8.065446,11.447068,5.000254,7.329899,1.978426,14.104274,121
2007-12-07,206.25,209.5,198.333328,204.833328,113.091835,12155058,87.384418,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,14.501602,0.422522,8.001291,57.035793,8.063466,11.257302,4.99873,7.313617,1.982822,14.134199,120
2007-12-10,206.416672,206.416672,200.0,201.041672,110.998413,5582889,50.356834,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,14.501542,0.42245,8.003884,57.048562,8.061486,11.176844,4.994795,7.453189,1.945683,13.868068,119
2007-12-11,202.5,206.666672,201.458328,202.958328,112.056641,8044372,59.66168,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,14.501482,0.422378,8.006478,57.061331,8.059506,11.415704,4.984524,7.384425,1.963793,13.995747,118
2007-12-12,202.958328,210.0,198.333328,209.291672,115.553413,12000657,75.801787,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,14.501422,0.422307,8.009072,57.0741,8.057526,11.934501,4.987814,7.162537,2.024621,14.427816,117
2007-12-13,210.0,210.833328,204.166672,204.791672,113.068886,6641110,58.03394,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,14.501363,0.422235,8.011665,57.086869,8.055546,11.682943,4.985288,7.321531,1.980646,14.113032,116
2007-12-14,204.791672,208.333328,202.791672,205.708328,113.574966,6467380,60.086311,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,14.501303,0.422163,8.014259,57.099637,8.053566,11.606329,4.967089,7.290507,1.989066,14.171612,115
2007-12-17,204.583328,205.75,187.5,190.083328,104.948151,9022399,31.661851,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,14.501243,0.422092,8.016853,57.112406,8.051586,11.558623,4.985186,7.891524,1.837572,13.090942,114
2007-12-18,190.833328,195.833328,188.75,193.166672,106.650505,7588410,37.904428,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,14.501183,0.42202,8.019446,57.125175,8.049606,11.419159,4.985186,7.767264,1.866962,13.298986,113
2007-12-19,195.833328,197.458328,187.5,190.75,105.316208,7413676,35.191032,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,14.501124,0.421948,8.02204,57.137944,8.047625,11.606192,5.01015,7.867397,1.843192,13.128358,112
2007-12-20,192.5,193.25,189.0,190.708328,105.293198,6824322,35.144314,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,14.501064,0.421876,8.024633,57.150713,8.045645,11.546182,5.017024,7.870842,1.842378,13.121247,111
2007-12-24,193.333328,198.333328,193.333328,197.208328,108.881958,5206386,46.970146,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,14.501004,0.421805,8.027227,57.163482,8.043665,11.787894,4.991353,7.613088,1.904747,13.564081,110
2007-12-26,199.166672,204.125,197.583328,199.708328,110.262268,5482927,50.694017,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,14.500944,0.421733,8.029821,57.176251,8.041685,11.936468,5.005083,7.519432,1.928463,13.731598,109
2007-12-27,200.958328,201.666672,197.166672,200.166672,110.515343,8385218,51.368281,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,14.500884,0.421661,8.032414,57.18902,8.039705,12.064664,4.989435,7.503857,1.932457,13.758671,108
2007-12-28,200.833328,204.166672,198.583328,201.166672,111.067429,5686069,52.88222,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,14.500825,0.42159,8.035008,57.201789,8.037725,12.018947,5.024325,7.468194,1.941678,13.822939,107
2007-12-31,203.333328,210.666672,201.583328,209.083328,115.43837,7992710,62.764774,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,14.500765,0.421518,8.037602,57.214558,8.035745,12.04595,5.037222,7.186994,2.01764,14.362291,106
2008-01-01,210.833328,216.583328,207.75,214.541672,118.451988,11017431,67.782231,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,14.500705,0.421446,8.040195,57.227327,8.033765,12.04595,5.066486,7.005679,2.06985,14.732477,105
2008-01-02,215.833328,217.166672,208.75,214.25,118.290962,11894132,67.260665,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,14.500645,0.421375,8.042789,57.240096,8.031785,12.631035,5.083269,7.016752,2.066575,14.707705,104
2008-01-03,214.166672,231.875,211.875,230.083328,127.032822,30301977,77.418618,7.755,97.599998,26887.279297,20345.199219,1447.160034,39.353001,124.119355,73.7,118116.478261,101.699313,24.82,119520.304348,False,False,False,False,14.500586,0.421303,8.045382,57.252865,8.029805,12.585429,5.074533,6.535319,2.218803,15.789532,103
2008-01-04,229.166672,233.083328,225.041672,226.208328,124.893356,18829022,71.566285,7.706,96.790001,27519.689453,20686.890625,1411.630005,39.095001,124.025806,73.7,119396.304348,101.690917,25.1,120915.73913,False,False,False,False,14.500526,0.421231,8.047976,57.265633,8.027825,12.560343,5.07332,6.648727,2.180948,15.518604,102
2008-01-07,225.0,229.083328,220.083328,224.0,123.67411,8538733,68.393261,7.66,94.389999,27179.490234,20812.650391,1416.180054,39.213001,123.932258,73.7,120676.130435,101.682522,25.24,122311.173913,False,False,False,False,14.500466,0.421159,8.05057,57.278402,8.025845,12.322454,5.119191,6.715743,2.159175,15.362156,101
2008-01-08,225.0,227.375,216.125,220.75,121.879692,14658841,63.902815,7.673,95.540001,27112.900391,20873.330078,1390.189941,39.195999,123.83871,73.7,121955.956522,101.674126,25.38,123706.608696,False,False,False,False,14.500406,0.421088,8.053163,57.291171,8.023865,12.451453,5.108302,6.816109,2.127373,15.134387,100
2008-01-09,221.875,232.833328,218.416672,230.958328,127.515923,19488080,70.462782,7.654,94.370003,27615.849609,20869.779297,1409.130005,39.213001,123.745161,73.7,123235.782609,101.66573,25.52,125102.043478,False,False,False,False,14.500347,0.421016,8.055757,57.30394,8.021884,12.329501,5.123204,6.516261,2.225256,15.829167,99
2008-01-10,230.833328,236.208328,219.541672,221.541672,122.316833,19575836,59.687293,7.586,92.220001,27230.859375,20582.080078,1420.329956,39.216,123.651613,73.7,124515.608696,101.657335,25.66,126497.478261,False,False,False,False,14.500287,0.420944,8.058351,57.316709,8.019904,12.156604,5.169523,6.794721,2.134052,15.178892,98
2008-01-11,222.583328,228.708328,218.416672,226.875,125.261429,13108237,63.126642,7.563,91.07,26867.009766,20827.449219,1401.02002,39.095001,123.558065,73.7,125795.434783,101.648939,25.8,127892.913043,False,False,False,False,14.500227,0.420873,8.060944,57.329478,8.017924,12.041518,5.169245,6.636444,2.184939,15.5393,97
2008-01-14,229.166672,239.916672,225.0,237.208328,130.96666,15253758,68.698782,7.544,92.919998,26468.130859,20728.050781,1416.25,39.216999,123.464516,73.7,127075.26087,101.640543,25.94,129288.347826,False,False,False,False,14.500167,0.420801,8.063538,57.342247,8.015944,12.317073,5.198436,6.348732,2.283947,16.241836,96
2008-01-15,240.833328,242.291672,225.833328,228.333328,126.066574,22639093,60.27411,7.556,90.980003,25837.779297,20251.089844,1380.949951,39.192001,123.370968,73.7,128355.086957,101.632148,26.08,130683.782609,False,False,False,False,14.500108,0.420729,8.066131,57.355016,8.013964,12.040763,5.186872,6.596942,2.198004,15.629125,95
2008-01-16,225.125,225.416672,210.375,215.375,118.912102,34937013,50.530445,7.563,89.5,24450.849609,19868.109375,1373.199951,39.171001,123.277419,73.7,129634.913043,101.623752,26.22,132079.217391,False,False,False,False,14.500048,0.420657,8.068725,57.367785,8.011984,11.833928,5.179294,6.995382,2.072803,14.737409,94
2008-01-17,216.625,219.375,211.041672,212.916672,117.554802,22187050,48.914939,7.554,88.75,25114.980469,19700.820312,1333.25,39.191002,123.183871,73.7,130914.73913,101.615357,26.36,133474.652174,False,False,False,False,14.499988,0.420586,8.071319,57.380554,8.010004,11.748742,5.188113,7.077698,2.048687,14.56451,93
2008-01-18,210.833328,215.916672,196.166672,199.333328,110.055206,27737089,41.096624,7.551,89.230003,25201.869141,19013.699219,1325.189941,39.284,123.090323,73.7,132194.565217,101.606961,26.5,134870.086957,False,False,False,False,14.499928,0.420514,8.073912,57.393323,8.008024,11.816978,5.20249,7.561651,1.917561,13.630964,92
2008-01-21,199.166672,199.166672,162.5,171.5,94.687981,30945897,30.381012,7.54,89.230003,23818.859375,17605.349609,1325.189941,39.476002,122.996774,73.7,133474.391304,101.598565,27.06,136265.521739,False,False,False,False,14.499869,0.420442,8.076506,57.406092,8.006044,11.816978,5.235544,8.790776,1.649441,11.723879,91
2008-01-22,167.083328,179.166672,138.375,163.666672,90.363052,19643920,28.155927,7.467,88.449997,21757.630859,16729.939453,1310.5,39.310001,122.903226,73.7,134754.217391,101.59017,27.62,137660.956522,False,False,False,False,14.499809,0.420371,8.0791,57.418861,8.004064,11.845453,5.264497,9.213528,1.573752,11.184792,90
2008-01-23,174.791672,189.916672,166.75,184.666672,101.957535,28008231,40.695664,7.385,86.620003,24090.169922,17594.070312,1338.599976,39.473,122.809677,73.7,136034.043478,101.581774,28.18,139056.391304,False,False,False,False,14.499749,0.420299,8.081693,57.431629,8.002084,11.729181,5.345024,8.167559,1.775285,12.615863,89
2008-01-24,189.416672,195.583328,166.666672,169.625,93.652756,19248066,35.866735,7.379,89.07,23539.269531,17221.740234,1352.069946,39.368999,122.716129,73.7,137313.869565,101.573378,28.74,140451.826087,False,False,False,False,14.499689,0.420227,8.084287,57.444398,8.000104,12.070741,5.335276,8.893768,1.63032,11.584541,88
2008-01-25,183.291672,187.083328,173.875,185.666672,102.509621,11772945,43.558709,7.431,90.900002,25122.369141,18361.660156,1330.609985,39.275002,122.622581,73.7,138593.695652,101.564983,29.3,141847.26087,False,False,False,False,14.499629,0.420155,8.08688,57.457167,7.998124,12.23254,5.285292,8.127117,1.784105,12.67604,87
2008-01-28,176.666672,181.666672,172.5,177.166672,97.816658,14836635,40.768521,7.438,91.379997,24053.609375,18152.779297,1353.959961,39.294998,122.529032,73.7,139873.521739,101.556587,28.92,143242.695652,False,False,False,False,14.49957,0.420084,8.089474,57.469936,7.996143,12.28556,5.283006,8.51889,1.702049,12.091844,86
2008-01-29,181.416672,183.333328,175.083328,176.291672,97.333565,11405062,40.481057,7.542,92.0,24291.800781,18091.939453,1362.300049,39.209999,122.435484,73.7,141153.347826,101.548191,28.54,144638.130435,False,False,False,False,14.49951,0.420012,8.092068,57.482705,7.994163,12.198356,5.198886,8.563038,1.693267,12.028269,85
2008-01-30,177.916672,181.25,166.666672,168.0,92.755562,11259794,37.763667,7.559,92.529999,23653.689453,17758.640625,1355.810059,39.347,122.341935,73.7,142433.173913,101.539796,28.16,146033.565217,False,False,False,False,14.49945,0.41994,8.094661,57.495474,7.992183,12.241037,5.205318,8.987631,1.613267,11.458856,84
2008-01-31,169.166672,172.833328,161.666672,163.375,90.202042,18125470,36.299939,7.529,92.209999,23455.740234,17648.710938,1378.550049,39.313999,122.248387,73.7,143713.0,101.5314,27.78,147429.0,False,False,False,False,14.49939,0.419869,8.097255,57.508243,7.990203,12.24731,5.221676,9.244075,1.568506,11.13983,83
2008-02-01,165.833328,172.291672,164.166672,171.375,94.61898,11509770,40.589495,7.487,89.440002,24123.580078,18242.580078,1395.420044,39.272999,122.154839,73.7,142771.0,101.519224,27.4,146412.238095,False,False,False,False,14.499331,0.419797,8.099849,57.521012,7.988223,11.94604,5.245492,8.81447,1.644946,11.681574,82
2008-02-04,179.0,181.583328,173.666672,178.833328,100.050423,11097750,44.351848,7.515,90.400002,25032.080078,18660.320312,1380.819946,39.271999,122.06129,73.7,141829.0,101.507048,27.04,145395.47619,False,False,False,False,14.499271,0.419725,8.102442,57.533781,7.986243,12.029275,5.225815,8.337775,1.738986,12.348181,81
2008-02-05,178.916672,189.5,176.25,185.75,103.920029,18558397,47.662041,7.518,88.82,24808.699219,18663.160156,1336.640015,39.451,121.967742,73.7,140887.0,101.494871,26.68,144378.714286,False,False,False,False,14.499211,0.419653,8.105036,57.54655,7.984263,11.814312,5.247539,8.029055,1.805843,12.821662,80
2008-02-06,166.666672,184.666672,166.666672,180.666672,101.076103,15553116,45.518998,7.488,87.779999,23469.460938,18139.490234,1326.449951,39.535999,121.874194,73.7,139945.0,101.482695,26.32,143361.952381,False,False,False,False,14.499151,0.419582,8.107629,57.559319,7.982283,11.722756,5.279914,8.256761,1.756034,12.466789,79
