,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,193.333328,198.833328,193.333328,195.050003,96.936829,7218324,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,24.602024,0.770558,2.77661,68.308036,15.003283,11.394493,5.011293,17.336197,1.419113,34.911941,124
2007-12-04,193.53334,197.316666,191.725006,192.975006,95.905556,6217422,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,24.585283,0.770267,2.777713,68.351924,14.992514,11.357351,4.992008,17.52194,1.403114,34.526803,123
2007-12-05,195.0,202.5,193.333328,201.125,99.955986,10742358,80.878976,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,24.568542,0.769976,2.778817,68.395813,14.981745,11.245393,5.006735,16.811253,1.461434,35.970701,122
2007-12-06,204.133331,204.666672,196.366669,199.433334,99.115273,5668218,68.495571,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,24.551801,0.769685,2.77992,68.439701,14.970976,11.447068,5.000254,16.953168,1.448213,35.653998,121
2007-12-07,200.0,201.5,193.133331,198.608337,98.705231,6467724,63.397575,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,24.53506,0.769394,2.781024,68.48359,14.960207,11.257302,4.99873,17.022897,1.441298,35.492406,120
2007-12-10,197.46666,200.0,194.333328,198.983337,98.891624,6844932,64.68425,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,24.518319,0.769104,2.782127,68.527478,14.949438,11.176844,4.994795,16.9901,1.443094,35.545325,119
2007-12-11,199.166672,208.666672,198.333328,206.71666,102.734955,8801832,80.167382,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,24.501578,0.768813,2.783231,68.571367,14.938669,11.415704,4.984524,16.353798,1.498219,36.912118,118
2007-12-12,193.225006,212.266663,193.225006,209.058334,103.898727,11071092,82.648126,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,24.484837,0.768522,2.784335,68.615255,14.9279,11.934501,4.987814,16.169912,1.514222,37.31546,117
2007-12-13,209.983337,209.983337,203.333328,205.074997,101.919083,9006372,67.240434,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,24.468096,0.768231,2.785438,68.659143,14.917131,11.682943,4.985288,16.483258,1.484421,36.589963,116
2007-12-14,204.166672,207.78334,200.0,206.475006,102.614883,6858516,69.399666,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,24.451355,0.76794,2.786542,68.703032,14.906363,11.606329,4.967089,16.370746,1.493601,36.825172,115
2007-12-17,205.0,205.0,191.933334,194.358337,96.593071,11884974,42.9899,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,24.434614,0.767649,2.787645,68.74692,14.895594,11.558623,4.985186,17.390527,1.405053,34.650415,114
