,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,84.206268,85.415649,83.559395,84.375023,49.799194,16851227,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,11.0,0.112355,2.184841,19.900916,3.394984,11.394493,5.011293,4.395856,2.502357,22.793056,124
2007-12-04,84.937523,85.640648,82.659393,83.278145,49.151802,14008727,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,11.003,0.112363,2.185781,19.89651,3.394478,11.357351,4.992008,4.453983,2.470373,22.487067,123
2007-12-05,83.41877,86.906273,83.250023,86.596893,51.110561,27725290,76.516848,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,11.006,0.112371,2.186721,19.892104,3.393972,11.245393,5.006735,4.283508,2.569389,23.37315,122
2007-12-06,88.48127,89.803146,83.896896,84.993774,50.164394,24104710,54.731285,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,11.009,0.112378,2.187661,19.887697,3.393466,11.447068,5.000254,4.364523,2.522383,22.930603,121
2007-12-07,85.528145,86.737518,83.109398,84.628143,49.948589,11742386,51.154001,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,11.012,0.112386,2.188602,19.883291,3.39296,11.257302,4.99873,4.383603,2.512089,22.822148,120
2007-12-10,85.443771,85.753143,83.615646,84.712524,49.998402,8330010,51.934793,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,11.015,0.112394,2.189542,19.878884,3.392454,11.176844,4.994795,4.379458,2.515151,22.835098,119
2007-12-11,85.471893,85.95002,83.896896,84.318771,49.766003,11685950,48.073148,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,11.018,0.112402,2.190482,19.874478,3.391948,11.415704,4.984524,4.400132,2.504016,22.719201,118
2007-12-12,83.250023,85.021896,82.687523,84.26252,49.7328,16342131,47.529433,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,11.021,0.11241,2.191422,19.870072,3.391442,11.934501,4.987814,4.403292,2.5029,22.694302,117
2007-12-13,84.375023,85.500023,82.546898,82.85627,48.902809,14620172,36.435086,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,11.024,0.112418,2.192363,19.865665,3.390936,11.682943,4.985288,4.478252,2.461675,22.305986,116
2007-12-14,82.57502,83.334396,81.618767,82.040642,48.421432,10991851,31.798856,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,11.027,0.112426,2.193303,19.861259,3.39043,11.606329,4.967089,4.522999,2.437984,22.076948,115
2007-12-17,82.518768,82.968773,75.937515,77.090645,45.499863,19355678,17.360735,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,11.03,0.112434,2.194243,19.856853,3.389924,11.558623,4.985186,4.813665,2.291393,20.736018,114
2007-12-18,76.218765,79.312515,74.362518,76.753143,45.300667,21607783,16.800616,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,11.033,0.112442,2.195183,19.852446,3.389418,11.419159,4.985186,4.835073,2.281868,20.636394,113
2007-12-19,79.228142,79.903145,74.70002,75.346893,44.47068,19526912,14.675955,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,11.036,0.11245,2.196124,19.84804,3.388912,11.606192,5.01015,4.925559,2.240558,20.249626,112
2007-12-20,76.331268,76.95002,74.250015,74.587517,44.022507,17105204,13.670575,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,11.039,0.112458,2.197064,19.843633,3.388406,11.546182,5.017024,4.975952,2.21847,20.036973,111
2007-12-24,75.712517,78.07502,75.093765,76.865646,45.367069,16711519,29.314933,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,11.042,0.112466,2.198004,19.839227,3.3879,11.787894,4.991353,4.828717,2.286736,20.640121,110
2007-12-26,77.287521,80.156273,77.287521,79.20002,46.744862,20930094,41.094546,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,11.045,0.112474,2.198944,19.834821,3.387394,11.936468,5.005083,4.686624,2.356707,21.257866,109
2007-12-27,80.831268,81.956268,79.087517,79.76252,47.076839,44565277,43.536341,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,11.048,0.112482,2.199884,19.830414,3.386888,12.064664,4.989435,4.653805,2.373972,21.399687,108
