,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,660.193909,672.697449,652.833557,670.868774,591.893494,10726712,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,17.990793,0.774151,28.910227,176.245781,8.90788,11.394493,5.011293,5.357047,3.358341,20.473499,124
2007-12-04,674.320374,677.886292,651.507751,654.319336,577.292175,11537375,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,17.947215,0.773458,28.884187,176.425574,8.885586,11.357351,4.992008,5.484827,3.272157,19.986443,123
2007-12-05,665.79425,667.462891,654.890808,663.211243,585.137329,8565857,36.653687,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,17.903637,0.772765,28.858147,176.605367,8.863291,11.245393,5.006735,5.403652,3.313248,20.27633,122
2007-12-06,674.320374,683.006531,654.947937,656.902344,579.571167,10850199,28.634207,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,17.86006,0.772072,28.832108,176.785159,8.840996,11.447068,5.000254,5.44781,3.278393,20.101589,121
2007-12-07,664.034119,664.034119,640.570068,649.50769,573.046997,14423528,22.437601,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,17.816482,0.771378,28.806068,176.964952,8.818701,11.257302,4.99873,5.50198,3.238195,19.893274,120
2007-12-10,651.462036,655.759399,640.330078,645.27887,569.316101,8074789,19.79887,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,17.772904,0.770685,28.780028,177.144745,8.796406,11.176844,4.994795,5.530103,3.213847,19.781638,119
2007-12-11,652.60498,662.651184,646.890381,659.611023,581.96106,13923793,43.885295,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,17.729327,0.769992,28.753988,177.324538,8.774112,11.415704,4.984524,5.402156,3.281898,20.239316,118
2007-12-12,656.262329,665.177063,649.176208,658.525269,581.003113,13586857,42.835745,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,17.685749,0.769299,28.727948,177.504331,8.751817,11.934501,4.987814,5.403236,3.273177,20.224316,117
2007-12-13,659.393921,668.411499,643.530212,647.518982,571.292419,14475264,33.967439,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,17.642171,0.768606,28.701908,177.684124,8.729522,11.682943,4.985288,5.487091,3.215214,19.904336,116
2007-12-14,641.175842,662.891235,641.175842,660.296814,582.566101,15583767,47.545013,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,17.598594,0.767912,28.675869,177.863916,8.707227,11.606329,4.967089,5.373047,3.275347,20.315552,115
2007-12-17,651.473511,660.148193,619.460388,634.341187,559.665955,15725527,32.794102,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,17.555016,0.767219,28.649829,178.043709,8.684932,11.558623,4.985186,5.584689,3.143419,19.534705,114
2007-12-18,636.604126,640.055786,617.871765,623.472046,550.076355,18126005,28.768918,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,17.511438,0.766526,28.623789,178.223502,8.662637,11.419159,4.985186,5.673667,3.086441,19.217454,113
2007-12-19,612.614319,636.581299,606.099731,618.043213,545.286499,16592961,26.987181,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,17.467861,0.765833,28.597749,178.403295,8.640343,11.606192,5.01015,5.715021,3.056482,19.067462,112
2007-12-20,620.603333,636.375549,615.323059,620.294739,547.27301,10939846,28.95246,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,17.424283,0.765139,28.571709,178.583088,8.618048,11.546182,5.017024,5.685795,3.064529,19.154367,111
2007-12-24,632.261047,640.021484,616.717407,637.415649,562.37854,11782297,41.784562,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,17.380705,0.764446,28.545669,178.76288,8.595753,11.787894,4.991353,5.524793,3.145947,19.701011,110
2007-12-26,640.032898,666.251404,639.575745,662.091187,584.149231,13868242,54.530995,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,17.337127,0.763753,28.519629,178.942673,8.573458,11.936468,5.005083,5.310889,3.264449,20.482357,109
2007-12-27,662.891235,668.834351,657.199524,661.485413,583.614685,16720110,54.21715,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,17.29355,0.76306,28.49359,179.122466,8.551163,12.064664,4.989435,5.30772,3.258188,20.482315,108
2007-12-28,659.919617,669.748718,652.890686,661.713989,583.816528,7948384,54.323973,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,17.249972,0.762367,28.46755,179.302259,8.528869,12.018947,5.024325,5.297827,3.256047,20.508141,107
2007-12-31,663.691284,669.748718,656.033752,658.936707,581.366089,5605744,52.714561,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,17.206394,0.761673,28.44151,179.482052,8.506574,12.04595,5.037222,5.312038,3.239132,20.44076,106
2008-01-01,660.605408,662.662659,648.056152,651.062012,574.418335,5270274,48.341419,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,17.162817,0.76098,28.41547,179.661845,8.484279,12.04595,5.066486,5.368045,3.197219,20.214986,105
2008-01-02,652.60498,659.233887,642.615906,654.147888,577.141052,13638147,50.088811,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,17.119239,0.760287,28.38943,179.841637,8.461984,12.631035,5.083269,5.334488,3.209163,20.329434,104
