,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,111.199997,111.199997,109.300003,109.995003,97.684464,1806670,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,34.027769,0.611813,8.263665,30.814661,27.358821,11.394493,5.011293,10.734094,3.170064,11.820961,124
2007-12-04,110.025002,110.800003,108.599998,109.300003,97.067253,311580,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,33.992932,0.611618,8.27004,30.854159,27.344378,11.357351,4.992008,10.80512,3.146002,11.737217,123
2007-12-05,109.300003,113.5,107.199997,111.830002,99.31411,1337160,79.676076,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,33.958096,0.611422,8.276414,30.893657,27.329936,11.245393,5.006735,10.563351,3.214709,11.999654,122
2007-12-06,113.300003,113.489998,106.504997,108.699997,96.534409,2300980,38.64877,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,33.923259,0.611227,8.282789,30.933155,27.315494,11.447068,5.000254,10.870253,3.120742,11.654819,121
2007-12-07,108.084999,113.0,108.084999,111.339996,98.87896,1531860,58.199716,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,33.888422,0.611032,8.289163,30.972653,27.301052,11.257302,4.99873,10.615144,3.19246,11.928702,120
2007-12-10,111.599998,114.400002,109.224998,112.114998,99.567207,822730,62.025497,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,33.853586,0.610837,8.295538,31.012151,27.28661,11.176844,4.994795,10.54436,3.210587,12.002502,119
2007-12-11,112.214996,114.879997,110.504997,113.584999,100.872688,1042440,68.006829,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,33.818749,0.610641,8.301912,31.051649,27.272167,11.415704,4.984524,10.410429,3.248545,12.150536,118
2007-12-12,113.0,119.0,112.995003,117.389999,104.251846,560650,77.768064,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,33.783912,0.610446,8.308287,31.091147,27.257725,11.934501,4.987814,10.075415,3.353104,12.547935,117
2007-12-13,117.400002,118.0,109.099998,111.989998,99.456192,1709040,53.036708,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,33.749076,0.610251,8.314661,31.130645,27.243283,11.682943,4.985288,10.563752,3.1948,11.961545,116
2007-12-14,114.800003,114.915001,109.0,113.849998,101.10804,545980,57.992136,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,33.714239,0.610056,8.321036,31.170143,27.228841,11.606329,4.967089,10.393611,3.243746,12.150896,115
