,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,79.0,80.099998,76.125,79.389999,60.627373,2310540,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,33.889701,0.540574,2.635928,57.114833,12.305924,11.394493,5.011293,31.926249,1.0615,23.000388,124
2007-12-04,81.0,85.699997,81.0,84.910004,64.842804,6002440,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,33.761964,0.540789,2.646151,57.13002,12.272271,11.357351,4.992008,29.746118,1.135004,24.504571,123
2007-12-05,80.004997,86.0,80.004997,84.660004,64.651894,2281380,95.349459,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,33.634227,0.541004,2.656375,57.145207,12.238618,11.245393,5.006735,29.72898,1.131362,24.338396,122
2007-12-06,85.0,86.300003,83.099998,84.309998,64.384613,3635130,89.101894,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,33.50649,0.541219,2.666598,57.160394,12.204964,11.447068,5.000254,29.746924,1.126385,24.144855,121
2007-12-07,81.779999,85.489998,81.305,82.324997,62.868744,3248580,63.635742,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,33.378753,0.541434,2.676821,57.175582,12.171311,11.257302,4.99873,30.356096,1.099573,23.486348,120
2007-12-10,82.0,83.400002,81.860001,82.224998,62.792366,980840,62.664086,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,33.251016,0.541649,2.687044,57.190769,12.137657,11.176844,4.994795,30.284751,1.097946,23.368568,119
2007-12-11,83.400002,85.934998,81.010002,83.379997,63.674393,3848220,68.623329,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,33.123279,0.541865,2.697267,57.205956,12.104004,11.415704,4.984524,29.758412,1.113073,23.607005,118
2007-12-12,83.300003,90.400002,81.110001,89.5,68.34803,4610680,83.579231,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,32.995542,0.54208,2.70749,57.221143,12.070351,11.934501,4.987814,27.623951,1.194454,25.244056,117
2007-12-13,89.5,96.900002,89.5,93.445,71.360687,8820810,87.661828,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,32.867805,0.542295,2.717713,57.236331,12.036697,11.682943,4.985288,26.36231,1.246773,26.257623,116
2007-12-14,94.264999,95.199997,91.550003,93.660004,71.524895,2949100,87.839282,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,32.740068,0.54251,2.727936,57.251518,12.003044,11.606329,4.967089,26.20652,1.24931,26.219416,115
2007-12-17,91.0,96.485001,85.800003,87.120003,66.53051,4734260,59.708235,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,32.612331,0.542725,2.738159,57.266705,11.96939,11.558623,4.985186,28.071342,1.161766,24.29753,114
2007-12-18,89.614998,89.614998,84.510002,88.074997,67.259819,979100,61.640123,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,32.484594,0.54294,2.748382,57.281892,11.935737,11.419159,4.985186,27.665537,1.17419,24.472511,113
2007-12-19,89.900002,92.489998,88.5,89.940002,68.684044,1325080,65.153971,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,32.356857,0.543155,2.758606,57.29708,11.902084,11.606192,5.01015,26.99249,1.198736,24.898102,112
2007-12-20,88.125,92.5,88.125,89.489998,68.340378,2005540,63.639183,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,32.22912,0.543371,2.768829,57.312267,11.86843,11.546182,5.017024,27.028295,1.192421,24.682054,111
2007-12-24,91.5,91.5,89.5,90.065002,68.779503,1030690,64.766399,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,32.101382,0.543586,2.779052,57.327454,11.834777,11.787894,4.991353,26.75638,1.199766,24.74927,110
2007-12-26,90.400002,90.900002,89.300003,89.855003,68.619133,1065730,63.986226,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,31.973645,0.543801,2.789275,57.342641,11.801124,11.936468,5.005083,26.719272,1.196651,24.601065,109
2007-12-27,90.900002,92.0,88.110001,88.785004,67.802017,3860860,60.019054,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,31.845908,0.544016,2.799498,57.357829,11.76747,12.064664,4.989435,26.940381,1.182088,24.219348,108
2007-12-28,90.099998,91.400002,87.330002,90.050003,68.768059,1149120,62.944166,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,31.718171,0.544231,2.809721,57.373016,11.733817,12.018947,5.024325,26.462389,1.198613,24.475048,107
