,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,254.0,266.5,252.600006,262.475006,190.42366,6516348,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,40.76696,1.413044,13.186514,37.304948,28.277299,11.394493,5.011293,7.986452,5.104515,14.440789,124
2007-12-04,262.475006,262.5,256.262512,257.424988,186.759918,1783824,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,40.727195,1.412685,13.188582,37.339554,28.251036,11.357351,4.992008,8.142728,5.001664,14.160728,123
2007-12-05,257.5,261.25,255.125,258.299988,187.39473,2069240,15.725241,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,40.68743,1.412327,13.190649,37.374159,28.224773,11.245393,5.006735,8.114735,5.014019,14.206634,122
2007-12-06,260.0,262.924988,257.799988,258.887512,187.820984,4163452,24.329731,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,40.647665,1.411968,13.192717,37.408765,28.19851,11.447068,5.000254,8.095895,5.020775,14.236717,121
2007-12-07,260.0,268.012512,256.5625,265.649994,192.727127,4805808,66.600169,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,40.6079,1.41161,13.194785,37.443371,28.172247,11.257302,4.99873,7.889375,5.147163,14.606311,120
2007-12-10,267.524994,268.5,257.5,258.899994,187.830048,3864020,41.612792,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,40.568135,1.411251,13.196853,37.477976,28.145984,11.176844,4.994795,8.094613,5.011745,14.232943,119
2007-12-11,262.25,262.25,256.3125,260.325012,188.863892,2907456,46.201757,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,40.528371,1.410892,13.19892,37.512582,28.119721,11.415704,4.984524,8.049838,5.034681,14.309041,118
2007-12-12,257.049988,265.0,256.524994,263.350006,191.058456,3718608,54.395679,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,40.488606,1.410534,13.200988,37.547187,28.093458,11.934501,4.987814,7.956901,5.088489,14.473042,117
2007-12-13,262.424988,265.524994,256.924988,257.399994,186.741776,4645736,41.126974,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,40.448841,1.410175,13.203056,37.581793,28.067195,11.682943,4.985288,8.140331,4.968943,14.14383,116
2007-12-14,253.824997,263.75,253.824997,260.100006,188.700653,2720436,47.397489,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,40.409076,1.409817,13.205124,37.616398,28.040932,11.606329,4.967089,8.055319,5.016447,14.289957,115
2007-12-17,268.100006,268.100006,251.25,253.100006,183.622223,3203328,36.533389,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,40.369311,1.409458,13.207191,37.651004,28.014669,11.558623,4.985186,8.277566,4.876954,13.9032,114
2007-12-18,252.5,260.0,250.824997,251.225006,182.261902,3845860,34.267646,7.892,90.120003,26732.869141,19079.640625,1454.97998,39.373001,123.384615,73.7,119280.2,101.77206,24.82,121624.0,False,False,False,False,40.329546,1.4091,13.209259,37.68561,27.988406,11.419159,4.985186,8.338789,4.836379,13.798041,113
2007-12-19,253.0,257.200012,252.0,256.125,185.816818,2671020,44.03575,7.882,91.480003,27029.259766,19091.960938,1453.0,39.490002,123.511538,73.7,118654.8,101.766115,24.98,120837.75,False,False,False,False,40.289781,1.408741,13.211327,37.720215,27.962143,11.606192,5.01015,8.178696,4.926187,14.064963,112
2007-12-20,257.375,263.487488,255.75,261.337494,189.598465,3036020,52.177185,7.871,90.879997,27017.089844,19162.570312,1460.119995,39.488998,123.638462,73.7,118029.4,101.76017,25.14,120051.5,False,False,False,False,40.250016,1.408382,13.213394,37.754821,27.93588,11.546182,5.017024,8.015002,5.021835,14.34896,111
2007-12-24,270.0,280.0,262.5,277.424988,201.26976,4655664,67.764037,7.864,92.699997,28128.800781,19854.119141,1496.449951,39.251999,123.892308,73.7,116778.6,101.74828,24.9,118479.0,False,False,False,False,40.210251,1.408024,13.215462,37.789426,27.909618,11.787894,4.991353,7.54968,5.326087,15.229869,110
2007-12-26,278.75,279.924988,271.537506,275.075012,199.56488,2905996,64.459071,7.87,93.940002,28128.800781,20192.519531,1497.660034,39.389999,124.019231,73.7,116153.2,101.742335,24.5,117692.75,False,False,False,False,40.170486,1.407665,13.21753,37.824032,27.883355,11.936468,5.005083,7.613613,5.27614,15.0985,109
2007-12-27,276.274994,280.0,271.637512,277.6875,201.460281,4008568,66.419839,7.856,94.779999,27842.929688,20216.720703,1476.27002,39.196999,124.146154,73.7,115527.8,101.73639,24.1,116906.5,False,False,False,False,40.130721,1.407307,13.219598,37.858637,27.857092,12.064664,4.989435,7.541409,5.321382,15.239517,108
2007-12-28,275.0,275.0,265.0,270.537506,196.272995,2196596,57.130194,7.811,93.879997,27370.599609,20206.949219,1478.48999,39.244999,124.273077,73.7,114902.4,101.730445,23.7,116120.25,False,False,False,False,40.090956,1.406948,13.221665,37.893243,27.830829,12.018947,5.024325,7.740119,5.17963,14.844801,107
2007-12-31,270.75,274.012512,263.0,269.350006,195.411453,2156168,55.735917,7.791,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.4,73.7,114277.0,101.7245,23.98,115334.0,False,False,False,False,40.051191,1.40659,13.223733,37.927849,27.804566,12.04595,5.037222,7.773626,5.152189,14.777329,106
2008-01-01,269.25,269.25,263.0,263.637512,191.267075,928388,49.480015,7.746,93.849998,27812.650391,20286.990234,1468.359985,39.244999,124.306452,73.7,115556.826087,101.716104,24.26,116729.434783,False,False,False,False,40.011426,1.406231,13.225801,37.962454,27.778303,12.04595,5.066486,7.941419,5.038322,14.461663,105
2008-01-02,265.0,265.25,257.875,262.5,190.441788,2864924,48.31704,7.746,97.839996,27560.519531,20465.300781,1447.160034,39.375,124.212903,73.7,116836.652174,101.707709,24.54,118124.869565,False,False,False,False,39.971661,1.405873,13.227869,37.99706,27.75204,12.631035,5.083269,7.97517,5.012014,14.397012,104
2008-01-03,257.524994,261.25,251.337494,252.762497,183.37735,5168280,39.712237,7.755,97.599998,26887.279297,20345.199219,1447.160034,39.353001,124.119355,73.7,118116.478261,101.699313,24.82,119520.304348,False,False,False,False,39.931896,1.405514,13.229936,38.031665,27.725777,12.585429,5.074533,8.281702,4.821702,13.860789,103
2008-01-04,252.762497,255.725006,250.574997,251.300003,182.316315,2318868,38.600345,7.706,96.790001,27519.689453,20686.890625,1411.630005,39.095001,124.025806,73.7,119396.304348,101.690917,25.1,120915.73913,False,False,False,False,39.892131,1.405155,13.232004,38.066271,27.699514,12.560343,5.07332,8.329176,4.789445,13.778436,102
2008-01-07,250.0,252.199997,243.125,243.899994,176.947662,3647344,33.490751,7.66,94.389999,27179.490234,20812.650391,1416.180054,39.213001,123.932258,73.7,120676.130435,101.682522,25.24,122311.173913,False,False,False,False,39.852367,1.404797,13.234072,38.100876,27.673251,12.322454,5.119191,8.581125,4.644189,13.370614,101
2008-01-08,245.0,248.0,242.324997,246.962494,179.16954,3207732,37.195949,7.673,95.540001,27112.900391,20873.330078,1390.189941,39.195999,123.83871,73.7,121955.956522,101.674126,25.38,123706.608696,False,False,False,False,39.812602,1.404438,13.236139,38.135482,27.646988,12.451453,5.108302,8.473945,4.698237,13.53639,100
2008-01-09,248.699997,251.5,247.475006,249.074997,180.702087,2450128,39.691761,7.654,94.370003,27615.849609,20869.779297,1409.130005,39.213001,123.745161,73.7,123235.782609,101.66573,25.52,125102.043478,False,False,False,False,39.772837,1.40408,13.238207,38.170088,27.620725,12.329501,5.123204,8.401301,4.734128,13.650042,99
2008-01-10,249.5,252.375,240.5,245.412506,178.045013,3342376,36.950159,7.586,92.220001,27230.859375,20582.080078,1420.329956,39.216,123.651613,73.7,124515.608696,101.657335,25.66,126497.478261,False,False,False,False,39.733072,1.403721,13.240275,38.204693,27.594462,12.156604,5.169523,8.525877,4.660292,13.447229,98
2008-01-11,228.837494,251.0,228.837494,247.4375,179.514099,2149188,39.440827,7.563,91.07,26867.009766,20827.449219,1401.02002,39.095001,123.558065,73.7,125795.434783,101.648939,25.8,127892.913043,False,False,False,False,39.693307,1.403363,13.242343,38.239299,27.568199,12.041518,5.169245,8.455293,4.694492,13.556068,97
2008-01-14,249.949997,249.949997,238.899994,240.287506,174.326828,4158864,34.290113,7.544,92.919998,26468.130859,20728.050781,1416.25,39.216999,123.464516,73.7,127075.26087,101.640543,25.94,129288.347826,False,False,False,False,39.653542,1.403004,13.24441,38.273904,27.541936,12.317073,5.198436,8.706037,4.554718,13.162294,96
2008-01-15,241.25,242.0,233.5,235.0,170.490768,2935588,31.059764,7.556,90.980003,25837.779297,20251.089844,1380.949951,39.192001,123.370968,73.7,128355.086957,101.632148,26.08,130683.782609,False,False,False,False,39.613777,1.402645,13.246478,38.30851,27.515673,12.040763,5.186872,8.901038,4.450467,12.870649,95
2008-01-16,235.0,241.675003,231.25,236.237503,171.38855,3131956,32.65874,7.563,89.5,24450.849609,19868.109375,1373.199951,39.171001,123.277419,73.7,129634.913043,101.623752,26.22,132079.217391,False,False,False,False,39.574012,1.402287,13.248546,38.343116,27.48941,11.833928,5.179294,8.853514,4.469865,12.936405,94
2008-01-17,241.449997,241.5,229.75,230.675003,167.352966,6302096,29.362147,7.554,88.75,25114.980469,19700.820312,1333.25,39.191002,123.183871,73.7,130914.73913,101.615357,26.36,133474.652174,False,False,False,False,39.534247,1.401928,13.250614,38.377721,27.463147,11.748742,5.188113,9.066074,4.36068,12.629828,93
2008-01-18,232.375,235.0,224.274994,225.800003,163.816208,4333816,26.808141,7.551,89.230003,25201.869141,19013.699219,1325.189941,39.284,123.090323,73.7,132194.565217,101.606961,26.5,134870.086957,False,False,False,False,39.494482,1.40157,13.252681,38.412327,27.436884,11.816978,5.20249,9.260835,4.264678,12.360986,92
2008-01-21,226.0,226.175003,201.3125,207.762497,150.730164,4840032,19.908115,7.54,89.230003,23818.859375,17605.349609,1325.189941,39.476002,122.996774,73.7,133474.391304,101.598565,27.06,136265.521739,False,False,False,False,39.454717,1.401211,13.254749,38.446932,27.410622,11.816978,5.235544,10.063764,3.920473,11.371786,91
2008-01-22,203.675003,247.5,181.25,200.0625,145.14386,6376872,17.801699,7.467,88.449997,21757.630859,16729.939453,1310.5,39.310001,122.903226,73.7,134754.217391,101.59017,27.62,137660.956522,False,False,False,False,39.414952,1.400853,13.256817,38.481538,27.384359,11.845453,5.264497,10.449963,3.771779,10.948621,90
2008-01-23,214.75,222.5,201.25,217.987503,158.743423,5359120,35.034323,7.385,86.620003,24090.169922,17594.070312,1338.599976,39.473,122.809677,73.7,136034.043478,101.581774,28.18,139056.391304,False,False,False,False,39.375187,1.400494,13.258884,38.516143,27.358096,11.729181,5.345024,9.553658,4.121478,11.972608,89
2008-01-24,217.5,222.0,206.4375,210.8125,153.518417,2013336,32.130602,7.379,89.07,23539.269531,17221.740234,1352.069946,39.368999,122.716129,73.7,137313.869565,101.573378,28.74,140451.826087,False,False,False,False,39.335422,1.400135,13.260952,38.550749,27.331833,12.070741,5.335276,9.877707,3.982242,11.576727,88
2008-01-25,213.25,224.425003,212.524994,221.149994,161.046432,2243116,39.864051,7.431,90.900002,25122.369141,18361.660156,1330.609985,39.275002,122.622581,73.7,138593.695652,101.564983,29.3,141847.26087,False,False,False,False,39.295657,1.399777,13.26302,38.585355,27.30557,12.23254,5.285292,9.414905,4.173771,12.142516,87
2008-01-28,217.5,217.5,206.25,213.574997,155.530075,2485660,36.575244,7.438,91.379997,24053.609375,18152.779297,1353.959961,39.294998,122.529032,73.7,139873.521739,101.556587,28.92,143242.695652,False,False,False,False,39.255892,1.399418,13.265088,38.61996,27.279307,12.28556,5.283006,9.747703,4.027194,11.724768,86
2008-01-29,214.0,221.149994,213.75,216.925003,157.96965,3258712,38.973116,7.542,92.0,24291.800781,18091.939453,1362.300049,39.209999,122.435484,73.7,141153.347826,101.548191,28.54,144638.130435,False,False,False,False,39.216127,1.39906,13.267155,38.654566,27.253044,12.198356,5.198886,9.596036,4.086701,11.906821,85
2008-01-30,220.5,223.0,215.0,217.462494,158.361099,3032856,39.369185,7.559,92.529999,23653.689453,17758.640625,1355.810059,39.347,122.341935,73.7,142433.173913,101.539796,28.16,146033.565217,False,False,False,False,39.176363,1.398701,13.269223,38.689171,27.226781,12.241037,5.205318,9.57117,4.093163,11.934467,84
2008-01-31,217.5,222.5,208.837494,218.4375,159.071152,5966956,40.128273,7.529,92.209999,23455.740234,17648.710938,1378.550049,39.313999,122.248387,73.7,143713.0,101.5314,27.78,147429.0,False,False,False,False,39.136598,1.398343,13.271291,38.723777,27.200518,12.24731,5.221676,9.527289,4.107842,11.98611,83
2008-02-01,221.25,235.274994,218.324997,232.375,169.220734,4169520,49.803003,7.487,89.440002,24123.580078,18242.580078,1395.420044,39.272999,122.154839,73.7,142771.0,101.519224,27.4,146412.238095,False,False,False,False,39.096833,1.397984,13.273359,38.758382,27.174255,11.94604,5.245492,8.954754,4.366042,12.748901,82
2008-02-04,236.25,247.25,234.75,243.912506,177.622559,3730520,56.123621,7.515,90.400002,25032.080078,18660.320312,1380.819946,39.271999,122.06129,73.7,141829.0,101.507048,27.04,145395.47619,False,False,False,False,39.057068,1.397625,13.275426,38.792988,27.147992,12.029275,5.225815,8.530112,4.578728,13.379801,81
2008-02-05,240.0,243.75,233.912506,238.762497,173.872269,1722872,52.920409,7.518,88.82,24808.699219,18663.160156,1336.640015,39.451,121.967742,73.7,140887.0,101.494871,26.68,144378.714286,False,False,False,False,39.017303,1.397267,13.277494,38.827594,27.121729,11.814312,5.247539,8.712994,4.478059,13.095262,80
