,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,256.674988,273.987488,255.899994,264.537506,197.940094,813008,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,52.730104,1.83106,18.098876,35.386167,32.702466,11.394493,5.011293,9.426672,5.593714,10.936596,124
2007-12-04,265.0,274.75,265.0,272.950012,204.234818,486944,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,52.861892,1.830207,18.118705,35.44198,32.793016,11.357351,4.992008,9.173412,5.762511,11.272043,123
2007-12-05,272.950012,280.0,265.25,267.162506,199.904297,221752,57.442051,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,52.993681,1.829355,18.138534,35.497793,32.883566,11.245393,5.006735,9.410297,5.631457,11.020973,122
2007-12-06,272.25,287.75,268.774994,278.262512,208.209869,731728,77.350947,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,53.12547,1.828502,18.158363,35.553606,32.974116,11.447068,5.000254,9.071626,5.856224,11.466335,121
2007-12-07,282.5,308.75,281.75,305.924988,228.90831,1878504,89.95833,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,53.257259,1.827649,18.178191,35.609418,33.064665,11.257302,4.99873,8.284802,6.428308,12.592469,120
2007-12-10,307.5,310.0,290.524994,292.5625,218.909836,502660,69.75831,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,53.389048,1.826797,18.19802,35.665231,33.155215,11.176844,4.994795,8.698251,6.137906,12.029322,119
2007-12-11,295.0,298.75,284.5,285.625,213.718857,328572,61.977181,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,53.520837,1.825944,18.217849,35.721044,33.245765,11.415704,4.984524,8.945491,5.982996,11.73129,118
2007-12-12,285.625,293.75,277.762512,287.087494,214.81311,387112,62.916268,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,53.652625,1.825092,18.237677,35.776857,33.336315,11.934501,4.987814,8.935778,6.004248,11.778534,117
2007-12-13,286.25,291.25,281.25,282.4375,211.333801,199168,58.010457,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,53.784414,1.824239,18.257506,35.832669,33.426865,11.682943,4.985288,9.119408,5.897797,11.575174,116
2007-12-14,282.5,287.350006,278.762512,280.075012,209.566086,131032,55.636832,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,53.916203,1.823386,18.277335,35.888482,33.517414,11.606329,4.967089,9.233224,5.839369,11.4659,115
