,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,76.75,78.245003,76.75,77.432503,69.705376,1099380,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,34.28855,2.226434,1.81247,5.876418,9.967458,11.394493,5.011293,2.89065,11.861881,38.458772,124
2007-12-04,78.0,80.449997,78.0,78.602501,70.758614,1993600,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,34.268506,2.226972,1.812896,5.88145,9.964255,11.357351,4.992008,2.848395,12.030811,39.030699,123
2007-12-05,78.602501,80.0,78.502502,79.512497,71.577805,2564700,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,34.248462,2.22751,1.813323,5.886482,9.961052,11.245393,5.006735,2.816557,12.159691,39.473285,122
2007-12-06,80.199997,81.5,77.849998,78.735001,70.877884,3298240,70.452205,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,34.228418,2.228048,1.813749,5.891514,9.957849,11.447068,5.000254,2.845136,12.030504,39.07811,121
2007-12-07,79.5,79.945,75.834999,76.75,69.090965,1845360,38.872241,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,34.208375,2.228586,1.814175,5.896546,9.954645,11.257302,4.99873,2.919503,11.717193,38.083952,120
2007-12-10,76.75,78.050003,74.277496,74.557503,67.117279,2273940,25.353869,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,34.188331,2.229124,1.814602,5.901578,9.951442,11.176844,4.994795,3.006157,11.372769,36.987336,119
2007-12-11,74.059998,75.800003,74.059998,75.337502,67.819435,2082380,34.130159,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,34.168287,2.229661,1.815028,5.90661,9.948239,11.415704,4.984524,2.975824,11.481957,37.365506,118
2007-12-12,74.997498,76.0,74.002502,75.394997,67.871193,1493980,34.739244,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,34.148243,2.230199,1.815454,5.911641,9.945036,11.934501,4.987814,2.974342,11.480939,37.385241,117
2007-12-13,75.5,76.192497,73.449997,73.717499,66.361099,1357520,26.918369,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,34.128199,2.230737,1.81588,5.916673,9.941833,11.682943,4.985288,3.042828,11.215948,36.544861,116
2007-12-14,73.0,76.0,72.980003,73.672501,66.320587,3164620,26.744434,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,34.108155,2.231275,1.816307,5.921705,9.938629,11.606329,4.967089,3.045486,11.199576,36.513979,115
2007-12-17,72.5,74.449997,68.550003,69.302498,62.386665,2045540,15.959344,7.898,91.290001,26596.580078,19261.349609,1445.900024,39.373001,123.257692,73.7,119905.6,101.778005,24.66,122410.25,False,False,False,False,34.088112,2.231813,1.816733,5.926737,9.935426,11.558623,4.985186,3.238373,10.526309,34.340029,114
