,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,1000.0,1010.0,994.5,999.150024,923.688904,18063,0.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,35.619602,0.96698,158.779363,266.541231,15.425741,11.394493,5.011293,10.278452,3.465463,5.817437,124
2007-12-04,1004.900024,1005.0,981.0,999.0,923.550171,52912,0.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,35.562952,0.966598,158.759124,266.832068,15.407769,11.357351,4.992008,10.274846,3.461166,5.817305,123
2007-12-05,1001.0,1002.950012,986.0,990.549988,915.738342,42044,0.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,35.506303,0.966215,158.738884,267.122904,15.389797,11.245393,5.006735,10.357267,3.428154,5.768834,122
2007-12-06,1000.0,1000.0,972.0,980.150024,906.123962,30574,0.0,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,35.449653,0.965833,158.718645,267.413741,15.371825,11.447068,5.000254,10.461841,3.388472,5.708995,121
2007-12-07,980.150024,997.950012,960.0,978.950012,905.014526,61942,0.0,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,35.393004,0.96545,158.698406,267.704578,15.353853,11.257302,4.99873,10.469301,3.380646,5.702732,120
2007-12-10,983.5,1001.0,967.25,995.549988,920.360718,43392,49.465522,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,35.336355,0.965068,158.678167,267.995414,15.33588,11.176844,4.994795,10.289423,3.434241,5.800172,119
2007-12-11,1000.0,1015.0,991.0,997.450012,922.117432,33113,52.369694,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,35.279705,0.964685,158.657928,268.286251,15.317908,11.415704,4.984524,10.264484,3.437066,5.811985,118
2007-12-12,973.25,1009.0,973.25,994.900024,919.759888,26466,48.353402,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,35.223056,0.964303,158.637689,268.577088,15.299936,11.934501,4.987814,10.285408,3.424566,5.797865,117
2007-12-13,995.0,1000.0,980.0,986.150024,911.670654,23600,37.676019,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,35.166406,0.96392,158.61745,268.867924,15.281964,11.682943,4.985288,10.3712,3.390775,5.747606,116
2007-12-14,988.099976,1035.0,983.200012,1024.099976,946.754639,48993,69.319638,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,35.109757,0.963538,158.597211,269.158761,15.263992,11.606329,4.967089,9.981571,3.517458,5.969554,115
