,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34
2007-12-03,104.625008,112.275002,103.725006,110.722504,94.945374,7847195,100.0,7.881,89.800003,28658.419922,19603.410156,1472.420044,39.493999,121.988462,73.7,126159.6,101.837455,26.02,130272.75,False,False,False,False,27.683669,1.014518,5.774004,21.732849,15.743283,11.394493,5.011293,6.336749,4.36875,16.443593,124
2007-12-04,110.925003,113.625008,109.125008,112.095001,96.122307,4381826,100.0,7.883,89.529999,28879.589844,19529.5,1462.790039,39.352001,122.115385,73.7,125534.2,101.83151,25.44,129486.5,False,False,False,False,27.68892,1.014462,5.77888,21.743542,15.737514,11.357351,4.992008,6.263429,4.420729,16.633379,123
2007-12-05,112.905006,112.905006,110.700005,112.230003,96.238091,1557795,100.0,7.869,88.489998,29345.449219,19738.070312,1485.01001,39.397999,122.242308,73.7,124908.8,101.825565,24.86,128700.25,False,False,False,False,27.694171,1.014406,5.783757,21.754235,15.731745,11.245393,5.006735,6.260157,4.423878,16.639373,122
2007-12-06,112.725006,113.175003,110.700005,111.397507,95.524193,1578884,61.121629,7.878,90.18,29558.919922,19795.869141,1507.339966,39.391998,122.369231,73.7,124283.4,101.81962,24.28,127914.0,False,False,False,False,27.699422,1.014351,5.788633,21.764928,15.725976,11.447068,5.000254,6.311238,4.388905,16.502028,121
2007-12-07,112.500008,113.613754,101.250008,113.220001,97.087006,2164457,79.714852,7.874,88.639999,28842.470703,19966.0,1504.660034,39.360001,122.496154,73.7,123658.0,101.813675,23.7,127127.75,False,False,False,False,27.704673,1.014295,5.79351,21.775622,15.720207,11.257302,4.99873,6.213875,4.458518,16.757891,120
2007-12-10,113.220001,114.513756,112.072502,112.803757,96.730064,2493924,71.324981,7.877,88.040001,28501.099609,19930.679688,1515.959961,39.344002,122.623077,73.7,123032.6,101.80773,23.86,126341.5,False,False,False,False,27.709924,1.014239,5.798386,21.786315,15.714438,11.176844,4.994795,6.24105,4.439946,16.682238,119
2007-12-11,112.950005,114.300003,112.275002,113.771255,97.559715,2062693,77.30424,7.883,89.989998,29226.839844,20290.890625,1477.650024,39.292999,122.75,73.7,122407.2,101.801785,24.02,125555.25,False,False,False,False,27.715175,1.014183,5.803263,21.797008,15.708669,11.415704,4.984524,6.192186,4.475831,16.811183,118
2007-12-12,112.500008,114.727509,110.025002,114.187508,97.916649,2876008,79.30376,7.878,94.019997,28521.060547,20375.869141,1486.589966,39.293999,122.876923,73.7,121781.8,101.79584,24.18,124769.0,False,False,False,False,27.720426,1.014127,5.808139,21.807701,15.7029,11.934501,4.987814,6.17381,4.490003,16.858522,117
2007-12-13,113.625008,113.625008,111.273758,112.601257,96.556419,2600782,58.244756,7.885,92.120003,27744.449219,20104.390625,1488.410034,39.308998,123.003846,73.7,121156.4,101.789895,24.34,123982.75,False,False,False,False,27.725677,1.014072,5.813016,21.818394,15.697131,11.682943,4.985288,6.265039,4.425459,16.610383,116
2007-12-14,112.725006,112.927505,110.756256,111.870003,95.929367,1591684,51.460536,7.9,91.690002,27563.640625,20030.830078,1467.949951,39.240002,123.130769,73.7,120531.0,101.78395,24.5,123196.5,False,False,False,False,27.730928,1.014016,5.817892,21.829088,15.691363,11.606329,4.967089,6.310277,4.394566,16.48868,115
